Référence,Nom,Description Technique,Système D'exploitation,Caméra,Caractéristique Caméra,Autonomie Batterie,Catégorie,Sous catégorie,Marque,Modèle,Description Marketing,RAM,Stockage,Type De Stockage,Processeur,Type D'écran,Résolution écran,Temps de réponse écran,Fréquence écran,Luminosité écran,Taille Écran,Carte Graphique,Connectivité,Connectique,Alimentation,Audio,Dimensions,Poids,Norme Environnementale,Empreinte Carbonne,Clavier,Garantie fabricant,Top Produit,Délais de livraison,Etat,Couleur,Images,Fournisseur,Reference ID,SKU ID,Plan ID,GUID,Type Licence,Apps incluses,Apps type,Prix achat,Prix location,Deleted
CFQ7TTC0LDPB:0001:P1M:M,Microsoft 365 Business Standard,,,,,,licences,licences,,,"Pour PC, Mac, iOS et Android

- Bénéficiez de la gestion des identités, des accès et des utilisateurs pour un maximum de 300 employés.
- Utilisez les versions de bureau, web et mobile de Word, Excel, PowerPoint et Outlook uniquement.
- Obtenez un service de courrier professionnel personnalisé (nom@votreentreprise.com) grâce à Outlook.
- Planifiez des réunions avec vos clients, organisez des webinaires et collaborez grâce à Teams.
- Stockez et partagez des fichiers avec 1 To de stockage en ligne OneDrive par utilisateur.
- Bénéficiez de plus de 10 applications supplémentaires pour les besoins de votre entreprise (dont Microsoft Loop, Clipchamp, Bookings, Planificateur et Microsoft Forms).
- Obtenez de l’aide grâce au support web et téléphonique 24 h/24, 7 j/7 de Microsoft.
- Microsoft 365 Copilot, disponible en tant que module complémentaire.

Faites votre choix parmi les offres avec et sans Microsoft Teams.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,USCFQ7TTC0LDPB0001,Monthly-n18,f245ecc8-75af-4f8e-b61f-27d8114de5f3,Mensuel,"Teams,Word,Excel,PowerPoint,Outlook,OneDrive,SharePoint,Exchange,Clipchamp,Microsoft Loop ",complete,,14.04,0
CFQ7TTC0LDPB:0001:P1Y:Y,Microsoft 365 Business Standard,,,,,,licences,licences,,,"Pour PC, Mac, iOS et Android

- Bénéficiez de la gestion des identités, des accès et des utilisateurs pour un maximum de 300 employés.
- Utilisez les versions de bureau, web et mobile de Word, Excel, PowerPoint et Outlook uniquement.
- Obtenez un service de courrier professionnel personnalisé (nom@votreentreprise.com) grâce à Outlook.
- Planifiez des réunions avec vos clients, organisez des webinaires et collaborez grâce à Teams.
- Stockez et partagez des fichiers avec 1 To de stockage en ligne OneDrive par utilisateur.
- Bénéficiez de plus de 10 applications supplémentaires pour les besoins de votre entreprise (dont Microsoft Loop, Clipchamp, Bookings, Planificateur et Microsoft Forms).
- Obtenez de l’aide grâce au support web et téléphonique 24 h/24, 7 j/7 de Microsoft.
- Microsoft 365 Copilot, disponible en tant que module complémentaire.

Faites votre choix parmi les offres avec et sans Microsoft Teams.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,USCFQ7TTC0LDPB0001,Annual-n104,f245ecc8-75af-4f8e-b61f-27d8114de5f3,Annuel,"Teams,Word,Excel,PowerPoint,Outlook,OneDrive,SharePoint,Exchange,Clipchamp,Microsoft Loop ",complete,,140.40,0
CFQ7TTC0LDPB:000F:P1M:M,Microsoft 365 Business Standard EEA (no Teams),,,,,,licences,licences,,,"Pour PC, Mac, iOS et Android

- Bénéficiez de la gestion des identités, des accès et des utilisateurs pour un maximum de 300 employés.
- Utilisez les versions de bureau, web et mobile de Word, Excel, PowerPoint et Outlook uniquement.
- Obtenez un service de courrier professionnel personnalisé (nom@votreentreprise.com) grâce à Outlook.
- Stockez et partagez des fichiers avec 1 To de stockage en ligne OneDrive par utilisateur.
- Bénéficiez de plus de 10 applications supplémentaires pour les besoins de votre entreprise (dont Microsoft Loop, Clipchamp, Bookings, Planificateur et Microsoft Forms).
- Obtenez de l’aide grâce au support web et téléphonique 24 h/24, 7 j/7 de Microsoft.
- Microsoft 365 Copilot, disponible en tant que module complémentaire.

Faites votre choix parmi les offres avec et sans Microsoft Teams.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,Microsoft-365-Business-Standa-n0,Monthly-n72,c1f79c29-5d7a-4bec-a2c1-1a76774864c0,Mensuel,"Word,Excel,PowerPoint,Outlook,OneDrive,SharePoint,Exchange,Clipchamp,Microsoft Loop ",complete,,11.64,0
CFQ7TTC0LDPB:000F:P1Y:Y,Microsoft 365 Business Standard EEA (no Teams),,,,,,licences,licences,,,"Pour PC, Mac, iOS et Android

- Bénéficiez de la gestion des identités, des accès et des utilisateurs pour un maximum de 300 employés.
- Utilisez les versions de bureau, web et mobile de Word, Excel, PowerPoint et Outlook uniquement.
- Obtenez un service de courrier professionnel personnalisé (nom@votreentreprise.com) grâce à Outlook.
- Stockez et partagez des fichiers avec 1 To de stockage en ligne OneDrive par utilisateur.
- Bénéficiez de plus de 10 applications supplémentaires pour les besoins de votre entreprise (dont Microsoft Loop, Clipchamp, Bookings, Planificateur et Microsoft Forms).
- Obtenez de l’aide grâce au support web et téléphonique 24 h/24, 7 j/7 de Microsoft.
- Microsoft 365 Copilot, disponible en tant que module complémentaire.

Faites votre choix parmi les offres avec et sans Microsoft Teams.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,Microsoft-365-Business-Standa-n0,Annual-n75,c1f79c29-5d7a-4bec-a2c1-1a76774864c0,Annuel,"Word,Excel,PowerPoint,Outlook,OneDrive,SharePoint,Exchange,Clipchamp,Microsoft Loop ",complete,,116.40,0
CFQ7TTC0LFLX:0010:P1M:M,Microsoft 365 E3 EEA (no Teams),,,,,,licences,licences,,,"Microsoft 365 E3 combine les meilleures applications de productivité d’entreprise à des fonctionnalités clés en matière de sécurité et de conformité.

- Améliorez la productivité et favorisez la collaboration grâce aux expériences connectées.
- Transformez la gestion de votre activité et améliorez les relations avec les clients grâce aux flux de travail intégrés.
- Protégez proactivement vos employés, vos données et vos informations clients grâce à une sécurité intelligente.

Microsoft Teams sous licence séparée.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,Microsoft-365-E3-EEA-no-Teams,Monthly-n64,c2fe850d-fbbb-4858-b67d-bd0c6e746da3,Mensuel,"Word,Excel,PowerPoint,Windows,Outlook,Exchange,SharePoint,OneNote,OneDrive,Microsoft Stream,Microsoft Bookings,Microsoft Publisher (pour PC),Microsoft Access (pour PC),Viva Engage,Viva Insights,Listes Microsoft,Microsoft Forms,Sway,Visio,Power Apps,Power Automate,Planificateur Microsoft,Microsoft To Do,Microsoft Loop,Clipchamp,Intune",complete,,42.84,0
CFQ7TTC0LFLX:0010:P1Y:Y,Microsoft 365 E3 EEA (no Teams),,,,,,licences,licences,,,"Microsoft 365 E3 combine les meilleures applications de productivité d’entreprise à des fonctionnalités clés en matière de sécurité et de conformité.

- Améliorez la productivité et favorisez la collaboration grâce aux expériences connectées.
- Transformez la gestion de votre activité et améliorez les relations avec les clients grâce aux flux de travail intégrés.
- Protégez proactivement vos employés, vos données et vos informations clients grâce à une sécurité intelligente.

Microsoft Teams sous licence séparée.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,Microsoft-365-E3-EEA-no-Teams,Annual-n67,c2fe850d-fbbb-4858-b67d-bd0c6e746da3,Annuel,"Word,Excel,PowerPoint,Windows,Outlook,Exchange,SharePoint,OneNote,OneDrive,Microsoft Stream,Microsoft Bookings,Microsoft Publisher (pour PC),Microsoft Access (pour PC),Viva Engage,Viva Insights,Listes Microsoft,Microsoft Forms,Sway,Visio,Power Apps,Power Automate,Planificateur Microsoft,Microsoft To Do,Microsoft Loop,Clipchamp,Intune",complete,,428.40,0
CFQ7TTC0LFLZ:000Z:P1M:M,Microsoft 365 E5 EEA (no Teams),,,,,,licences,licences,,,"Microsoft 365 E5 associe les meilleures applications de productivité à des fonctionnalités avancées de sécurité, de conformité et d’analyse.

- Étendez la protection des identités et la protection contre les menaces avec une sécurité intégrée et automatisée qui facilite l’arrêt des cyberattaques préjudiciables.
- Associez la protection des données et des fonctionnalités avancées de conformité pour protéger et régir les données tout en réduisant les risques.
- Bénéficiez des fonctionnalités Power BI qui vous aident à tirer une valeur commerciale significative de vos données.

Microsoft Teams sous licence séparée.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,Microsoft-365-E5-EEA-no-Teams,Monthly-n66,3271cf8e-2be5-4a09-a549-70fd05baaa17,Mensuel,"Word,Excel,PowerPoint,Windows,Outlook,Exchange,SharePoint,OneNote,OneDrive,Microsoft Stream,Microsoft Bookings,Microsoft Publisher (pour PC),Microsoft Access (pour PC),Viva Engage,Viva Insights,Listes Microsoft,Microsoft Forms,Sway,Visio,Power Apps,Power Automate,Planificateur Microsoft,Microsoft To Do,Microsoft Loop,Clipchamp,Power BI Pro,Intune",complete,,69.24,0
CFQ7TTC0LFLZ:000Z:P1Y:Y,Microsoft 365 E5 EEA (no Teams),,,,,,licences,licences,,,"Microsoft 365 E5 associe les meilleures applications de productivité à des fonctionnalités avancées de sécurité, de conformité et d’analyse.

- Étendez la protection des identités et la protection contre les menaces avec une sécurité intégrée et automatisée qui facilite l’arrêt des cyberattaques préjudiciables.
- Associez la protection des données et des fonctionnalités avancées de conformité pour protéger et régir les données tout en réduisant les risques.
- Bénéficiez des fonctionnalités Power BI qui vous aident à tirer une valeur commerciale significative de vos données.

Microsoft Teams sous licence séparée.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,Microsoft365EandFNCE-isvfrnce,Microsoft-365-E5-EEA-no-Teams,Annual-n69,3271cf8e-2be5-4a09-a549-70fd05baaa17,Annuel,"Word,Excel,PowerPoint,Windows,Outlook,Exchange,SharePoint,OneNote,OneDrive,Microsoft Stream,Microsoft Bookings,Microsoft Publisher (pour PC),Microsoft Access (pour PC),Viva Engage,Viva Insights,Listes Microsoft,Microsoft Forms,Sway,Visio,Power Apps,Power Automate,Planificateur Microsoft,Microsoft To Do,Microsoft Loop,Clipchamp,Power BI Pro,Intune",complete,,692.40,0
CFQ7TTC0LF8Q:0012:P1M:M,Office 365 E1 EEA (no Teams),,,,,,licences,licences,,,"Office 365 E1 inclut des applications web de niveau entreprise comme Excel et Outlook intégrées à des services cloud comme OneDrive afin d’assurer une productivité n’importe où.

- Applications web Microsoft 365 et services professionnels les plus récents. Les logiciels de bureau Microsoft 365 ne sont pas inclus. 
- Messagerie, stockage et partage de fichiers. 
- Cinq couches de sécurité et surveillance pour assurer la protection de vos données. 
- Disponibilité de 99,9 % adossée à une garantie financière.

Microsoft Teams sous licence séparée.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,OFFICE365NCE-isvfrnce,USCFQ7TTC0LF8Q0012,Monthly-n13,b57282e3-65bd-4252-9502-c0eae1e5ab7f,Mensuel,"OneDrive,Exchange,SharePoint,Viva Engage,Viva Insights,Microsoft Bookings,Delve,Microsoft Stream,Sway,Microsoft Forms,Power Apps,Power Automate,Planificateur Microsoft,Microsoft To Do",complete,,8.88,0
CFQ7TTC0LF8Q:0012:P1Y:Y,Office 365 E1 EEA (no Teams),,,,,,licences,licences,,,"Office 365 E1 inclut des applications web de niveau entreprise comme Excel et Outlook intégrées à des services cloud comme OneDrive afin d’assurer une productivité n’importe où.

- Applications web Microsoft 365 et services professionnels les plus récents. Les logiciels de bureau Microsoft 365 ne sont pas inclus. 
- Messagerie, stockage et partage de fichiers. 
- Cinq couches de sécurité et surveillance pour assurer la protection de vos données. 
- Disponibilité de 99,9 % adossée à une garantie financière.

Microsoft Teams sous licence séparée.",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,OFFICE365NCE-isvfrnce,USCFQ7TTC0LF8Q0012,Annual-n10,b57282e3-65bd-4252-9502-c0eae1e5ab7f,Annuel,"OneDrive,Exchange,SharePoint,Viva Engage,Viva Insights,Microsoft Bookings,Delve,Microsoft Stream,Sway,Microsoft Forms,Power Apps,Power Automate,Planificateur Microsoft,Microsoft To Do",complete,,88.80,0
CFQ7TTC0LF8R:0012:P1M:M,Office 365 E3 EEA (no Teams),,,,,,licences,licences,,,"Microsoft 365 E3 combine les meilleures applications de productivité d’entreprise à des fonctionnalités clés en matière de sécurité et de conformité.

- Améliorez la productivité et favorisez la collaboration grâce aux expériences connectées.
- Transformez la gestion de votre activité et améliorez les relations avec les clients grâce aux flux de travail intégrés.
- Protégez proactivement vos employés, vos données et vos informations clients grâce à une sécurité intelligente.

Microsoft Teams sous licence séparée",,,,,,,,,,,,,,,,,,,,,,,,Neuf,,https://manystacks.s3.eu-west-3.amazonaws.com/Produits/Images/Microsoft_365_logo.webp,microsoft,OFFICE365NCE-isvfrnce,USCFQ7TTC0LF8R0012,Monthly-n14,d711d25a-a21c-492f-bd19-aae1e8ebaf30,Mensuel,"Word,Excel,PowerPoint,Outlook,OneDrive,Microsoft Access (pour PC),Microsoft Publisher (pour PC),Exchange,SharePoint,Viva Engage,Viva Insights,Microsoft Bookings,OneNote,Delve,Microsoft Stream,Sway,Microsoft Forms,Power Apps,Power Automate,Planificateur Microsoft,Microsoft To Do",complete,,27.72,0
